date,area,B,ypi_n,K_min_obs,K_max_obs,K_width,mean_BL,var_BL,skew_BL,kurt_BL,p_deflation_BL,p_highinfl_BL,mean_BKM,var_BKM,skew_BKM,kurt_BKM,mean_maxent,var_maxent,skew_maxent,kurt_maxent,rmse_maxent,p_deflation_maxent,p_highinfl_maxent,mean_KW,var_KW,skew_KW,kurt_KW,p_deflation_KW,p_highinfl_KW,h_KW
2016-04-29,EU,1.0014510517582884,0.00751,0.99,1.05,0.06000000000000005,0.00845829256262961,5.5023286260510526e-05,0.708616106819555,3.687782519401495,0.14691645448251006,0.0012903537710074373,0.007509999999999906,0.00011889101875883767,-748486.192919849,211086816.01146644,0.002994561558750674,0.0003517168001740295,0.3279193420941833,2.9771562761781487,0.0015083436343808166,0.4349544723978489,0.028515640070971925,0.008183356625075203,6.609859565541172e-05,0.5452032468793258,3.4555289128059177,0.18344565236295565,0.001611197805288234,0.01551635287203137
2016-05-31,EU,1.0016112967458268,0.009625,0.99,1.05,0.06000000000000005,0.010549926401317546,6.815503034990065e-05,0.4773844544107237,2.8898228547107387,0.11517833144554959,0.0013711706124467855,0.009624999999999995,0.00012476490073298763,-696255.7945474592,192469933.228334,0.005311686763218202,0.0003739037831373738,0.24397758190076443,2.9012825060759244,0.0015176300368966117,0.38701575922927156,0.03741096905023998,0.010299470772123946,7.944848876172942e-05,0.3766738678585477,2.8832386433230055,0.14449644827357477,0.0017202008763006421,0.01551635287203137
2016-06-30,EU,1.0019318636487544,0.0085,0.99,1.05,0.06000000000000005,0.008944872637382991,3.3755232837631965e-05,0.012058930526932786,2.8756347164715166,0.09921528106972545,7.975793220731857e-28,0.008499999999999952,5.121772968186278e-05,-2647135.7978856904,1139611053.4097207,0.00386540601302316,0.00033723971197526675,0.2190964430576129,2.9237967258743556,0.0017526693155153576,0.4040548781772283,0.026459490596912813,0.008750487092548161,4.4335859572255755e-05,-0.040588490188407544,2.836852539944661,0.12479179796840809,1.0031857648421423e-27,0.01551635287203137
2016-07-29,EU,1.002012021404114,0.008825,0.99,1.05,0.06000000000000005,0.009789128086528808,6.284362332681171e-05,0.5524764130470392,3.128524366073983,0.12461881024917151,0.0012828406937413015,0.008825000000000083,0.00011852962836012004,-751911.979027189,212920878.38946867,0.0044317612108598445,0.0003647889822407823,0.270769117790689,2.9199707065131064,0.001519706730574293,0.4042097517034045,0.033533169188513484,0.009531762314907507,7.404675434935932e-05,0.4314904594111463,3.0597348076180233,0.15612173419236816,0.0016071367661785138,0.01551635287203137
2016-08-31,EU,1.0020320618449456,0.0069799999999999,0.99,1.05,0.06000000000000005,0.008196094577611054,5.1492076220731876e-05,0.4800466079272659,2.8012032061439633,0.15409334985902864,0.0003735596360218389,0.006979999999999986,0.00010923315553545976,-849915.0654759157,249804866.31977564,0.0024586901607388943,0.00034603470526118225,0.3363543923064179,2.9618329245718558,0.0014860112743305893,0.44684802809778446,0.02627168138604687,0.007908218728860302,6.244343110023751e-05,0.3589878363861242,2.7918144969381817,0.1922285719715787,0.00046600994530423536,0.01551635287203137
2016-09-30,EU,1.002072143929056,0.00767,0.99,1.05,0.06000000000000005,0.009030315350144523,5.706632935026811e-05,0.64592898995315,3.4252593170226264,0.13349671607588892,0.000746052203008714,0.007670000000000066,0.00024001872090195775,-260941.09615788533,51808922.96239968,0.003343943119460168,0.00035606498731747524,0.31302134362209555,2.9498801284628504,0.001495616387328929,0.42778690961616733,0.02977545969393897,0.008766887167581058,6.806851891574963e-05,0.4921307778711282,3.2548579431723765,0.16703575652762678,0.0009334891650600959,0.01551635287203137
2016-10-31,EU,1.0019418830174878,0.00791,0.99,1.05,0.06000000000000005,0.008993107181537736,4.822134275641776e-05,0.13700876946249663,2.0753670400059874,0.12958793611641634,1.7122262190575344e-17,0.007910000000000084,0.00011702329047413862,-766477.0710256736,218048658.29824844,0.0034501161328467376,0.0003502041083746192,0.2803105943683756,2.9196244136055896,0.0015510625025878728,0.42219599166671407,0.0283258942622753,0.00873449671233744,5.918475378110463e-05,0.08345649345883449,2.2843615592117086,0.1622579465255946,8.160062979609229e-09,0.01551635287203137
2016-11-30,EU,1.001991981364087,0.0093999999999999,0.99,1.05,0.06000000000000005,0.010355652457808215,6.527746457819364e-05,0.48032021816249143,2.9981212420515146,0.11580672012850027,0.0016052360049482724,0.009399999999999853,0.00011158311069237037,-823207.8375294949,240525371.0777885,0.005055488809243881,0.0003702619050105539,0.2477181263951639,2.903634232995644,0.001525595210733202,0.39144323735439934,0.0359629351802865,0.010108640642935224,7.658425858770768e-05,0.3767427589528112,2.9697921359762605,0.14526607201930206,0.0020135845122334645,0.01551635287203137
2016-12-30,EU,1.0020220415744288,0.012175,0.99,1.05,0.06000000000000005,0.012778735697140185,7.389672132784782e-05,0.3222733350534315,2.684889722871466,0.0782564638335029,0.001747986603459194,0.012175000000000047,0.00013304653849832704,-632269.9673029284,170093313.09034082,0.008050357946935701,0.00038853165384835936,0.13556248346720162,2.8762816055324136,0.0016013481173122962,0.33185067815672353,0.04854395064814908,0.01258623131137532,8.510230978775145e-05,0.2466260225472058,2.73954599031065,0.0987149941204628,0.002204967707606915,0.01551635287203137
2017-01-31,EU,1.0021823779276469,0.013675,0.99,1.05,0.06000000000000005,0.014353016585924762,6.209856081219586e-05,0.3201102582693715,3.300024638459319,0.04165672152609272,0.004493713217480605,0.013675000000000104,0.00011681213937242418,-768556.7109227673,221297362.97512966,0.009668369439356242,0.0003868435689549182,0.054648869386209734,2.9043018110635925,0.0017151927654247023,0.29787349582231154,0.05388652192772019,0.014259021216216618,7.28359793378908e-05,0.24127400170996885,3.2741717695408674,0.05281559519626404,0.005697486530208213,0.01551635287203137
