date,area,n,strike_label,k,K,price_per_1,source
2013-05-31,EU,1,S0,0.0,1.0,0.061399999999999996,floor
2013-05-31,EU,1,S1,0.01,1.01,0.2586,floor
2013-05-31,EU,1,S2,0.02,1.02,0.86885,floor
2013-05-31,EU,1,SN1,-0.01,0.99,0.005651000000000001,floor
2013-06-28,EU,1,S0,0.0,1.0,0.0711,floor
2013-06-28,EU,1,S1,0.01,1.01,0.2986,floor
2013-06-28,EU,1,S2,0.02,1.02,0.9838,floor
2013-06-28,EU,1,SN1,-0.01,0.99,0.021901,floor
2013-07-31,EU,1,S0,0.0,1.0,0.051,floor
2013-07-31,EU,1,S1,0.01,1.01,0.187,floor
2013-07-31,EU,1,S2,0.02,1.02,0.7256,floor
2013-07-31,EU,1,SN1,-0.01,0.99,0.004701,floor
2013-08-30,EU,1,S0,0.0,1.0,0.040701,floor
2013-08-30,EU,1,S1,0.01,1.01,0.1634,floor
2013-08-30,EU,1,S2,0.02,1.02,0.6916,floor
2013-08-30,EU,1,SN1,-0.01,0.99,0.013801,floor
2013-09-30,EU,1,S0,0.0,1.0,0.038501,floor
2013-09-30,EU,1,S1,0.01,1.01,0.2133,floor
2013-09-30,EU,1,S2,0.02,1.02,0.8837999999999999,floor
2013-09-30,EU,1,SN1,-0.01,0.99,0.010101,floor
2013-10-31,EU,1,S0,0.0,1.0,0.0717,floor
2013-10-31,EU,1,S1,0.01,1.01,0.3575,floor
2013-10-31,EU,1,S2,0.02,1.02,1.1513,floor
2013-10-31,EU,1,SN1,-0.01,0.99,0.0121,floor
2013-11-29,EU,1,S0,0.0,1.0,0.105,floor
2013-11-29,EU,1,S1,0.01,1.01,0.4621,floor
2013-11-29,EU,1,S2,0.02,1.02,1.2675,floor
2013-11-29,EU,1,SN1,-0.01,0.99,0.0258,floor
2013-12-31,EU,1,S0,0.0,1.0,0.098,floor
2013-12-31,EU,1,S1,0.01,1.01,0.4647,floor
2013-12-31,EU,1,S2,0.02,1.02,1.2897,floor
2013-12-31,EU,1,SN1,-0.01,0.99,0.022401,floor
2014-01-31,EU,1,S0,0.0,1.0,0.08130000000000001,floor
2014-01-31,EU,1,S1,0.01,1.01,0.39465000000000006,floor
2014-01-31,EU,1,S2,0.02,1.02,1.2123,floor
2014-01-31,EU,1,SN1,-0.01,0.99,0.021001,floor
2014-02-28,EU,1,S0,0.0,1.0,0.0746,floor
2014-02-28,EU,1,S1,0.01,1.01,0.32289999999999996,floor
2014-02-28,EU,1,S2,0.02,1.02,1.0869,floor
2014-02-28,EU,1,SN1,-0.01,0.99,0.024301,floor
2014-03-31,EU,1,S0,0.0,1.0,0.0713,floor
2014-03-31,EU,1,S1,0.01,1.01,0.4497,floor
2014-03-31,EU,1,S2,0.02,1.02,1.3318,floor
2014-03-31,EU,1,SN1,-0.01,0.99,0.014001,floor
2014-04-30,EU,1,S0,0.0,1.0,0.0635,floor
2014-04-30,EU,1,S1,0.01,1.01,0.38670000000000004,floor
2014-04-30,EU,1,S2,0.02,1.02,1.2324,floor
2014-04-30,EU,1,SN1,-0.01,0.99,0.015801,floor
2014-05-30,EU,1,S0,0.0,1.0,0.0446,floor
2014-05-30,EU,1,S1,0.01,1.01,0.36479999999999996,floor
2014-05-30,EU,1,S2,0.02,1.02,1.2203,floor
2014-05-30,EU,1,SN1,-0.01,0.99,0.010001,floor
2014-06-30,EU,1,S0,0.0,1.0,0.0462,floor
2014-06-30,EU,1,S1,0.01,1.01,0.38280000000000003,floor
2014-06-30,EU,1,S2,0.02,1.02,1.2570999999999999,floor
2014-06-30,EU,1,SN1,-0.01,0.99,0.007401,floor
2014-07-31,EU,1,S0,0.0,1.0,0.045899999999999996,floor
2014-07-31,EU,1,S1,0.01,1.01,0.44329999999999997,floor
2014-07-31,EU,1,S2,0.02,1.02,1.3555000000000001,floor
2014-07-31,EU,1,SN1,-0.01,0.99,0.009101,floor
2014-08-29,EU,1,S0,0.0,1.0,0.061399999999999996,floor
2014-08-29,EU,1,S1,0.01,1.01,0.5056,floor
2014-08-29,EU,1,S2,0.02,1.02,1.4247999999999998,floor
2014-08-29,EU,1,SN1,-0.01,0.99,0.006201,floor
2014-09-30,EU,1,S0,0.0,1.0,0.0775,floor
2014-09-30,EU,1,S1,0.01,1.01,0.5097999999999999,floor
2014-09-30,EU,1,S2,0.02,1.02,1.4425,floor
2014-09-30,EU,1,SN1,-0.01,0.99,0.012201,floor
2014-10-31,EU,1,S0,0.0,1.0,0.09949999999999999,floor
2014-10-31,EU,1,S1,0.01,1.01,0.5811999999999999,floor
2014-10-31,EU,1,S2,0.02,1.02,1.5288,floor
2014-10-31,EU,1,SN1,-0.01,0.99,0.008301,floor
2014-11-28,EU,1,S0,0.0,1.0,0.24530000000000002,floor
2014-11-28,EU,1,S1,0.01,1.01,0.9426000000000001,floor
2014-11-28,EU,1,S2,0.02,1.02,1.9143000000000001,floor
2014-11-28,EU,1,SN1,-0.01,0.99,0.0438,floor
2014-12-31,EU,1,S0,0.0,1.0,0.6033,floor
2014-12-31,EU,1,S1,0.01,1.01,1.4679,floor
2014-12-31,EU,1,S2,0.02,1.02,2.4722,floor
2014-12-31,EU,1,SN1,-0.01,0.99,0.2218,floor
2015-01-30,EU,1,S0,0.0,1.0,0.8049,floor
2015-01-30,EU,1,S1,0.01,1.01,1.6747999999999998,floor
2015-01-30,EU,1,S2,0.02,1.02,2.6677,floor
2015-01-30,EU,1,SN1,-0.01,0.99,0.2634,floor
2015-02-27,EU,1,S0,0.0,1.0,0.35960000000000003,floor
2015-02-27,EU,1,S1,0.01,1.01,1.0952,floor
2015-02-27,EU,1,S2,0.02,1.02,2.0525,floor
2015-02-27,EU,1,SN1,-0.01,0.99,0.054900000000000004,floor
2015-03-31,EU,1,S0,0.0,1.0,0.1549,floor
2015-03-31,EU,1,S1,0.01,1.01,0.7114,floor
2015-03-31,EU,1,S2,0.02,1.02,1.6261,floor
2015-03-31,EU,1,SN1,-0.01,0.99,0.018401,floor
2015-04-30,EU,1,S0,0.0,1.0,0.0556,floor
2015-04-30,EU,1,S1,0.01,1.01,0.275,floor
2015-04-30,EU,1,S2,0.02,1.02,0.9217,floor
2015-04-30,EU,1,SN1,-0.01,0.99,0.011301,floor
2015-05-29,EU,1,S0,0.0,1.0,0.0827,floor
