date,area,n,K_min_obs,K_max_obs
2021-06-30,EU,1,0.99,1.05
2021-07-30,EU,1,0.99,1.05
2021-08-31,EU,1,0.99,1.05
2021-09-30,EU,1,0.99,1.05
2021-10-29,EU,1,0.99,1.05
2021-11-30,EU,1,0.99,1.05
2021-12-31,EU,1,0.99,1.05
2022-01-31,EU,1,0.99,1.05
2022-02-28,EU,1,0.99,1.05
2022-03-31,EU,1,0.99,1.05
2022-04-29,EU,1,0.99,1.05
2022-05-31,EU,1,0.99,1.05
2022-06-30,EU,1,0.99,1.05
2022-07-29,EU,1,0.99,1.05
2022-08-31,EU,1,0.99,1.05
2022-09-30,EU,1,0.99,1.05
2022-10-31,EU,1,0.99,1.05
2022-11-30,EU,1,0.99,1.05
2022-12-30,EU,1,0.99,1.05
2023-01-31,EU,1,0.99,1.05
2023-02-28,EU,1,0.99,1.05
2023-03-31,EU,1,0.99,1.05
2023-04-28,EU,1,0.99,1.05
2023-05-31,EU,1,0.99,1.05
2023-06-30,EU,1,0.99,1.05
2023-07-31,EU,1,0.99,1.05
2023-08-31,EU,1,0.99,1.05
2023-09-29,EU,1,0.99,1.05
2023-10-31,EU,1,0.99,1.05
2023-11-30,EU,1,0.99,1.05
2023-12-29,EU,1,0.99,1.05
2024-01-31,EU,1,0.99,1.05
2024-02-29,EU,1,0.99,1.05
2024-03-29,EU,1,0.99,1.05
2024-04-30,EU,1,0.99,1.05
2024-05-31,EU,1,0.99,1.05
2024-06-28,EU,1,0.99,1.05
2024-07-31,EU,1,0.99,1.05
2024-08-31,EU,1,0.99,1.05
2024-09-30,EU,1,0.99,1.05
2024-10-31,EU,1,0.99,1.05
2024-11-30,EU,1,0.99,1.05
2024-12-31,EU,1,0.99,1.05
2025-01-31,EU,1,0.99,1.05
2025-02-28,EU,1,0.99,1.05
2025-03-31,EU,1,0.99,1.05
2025-04-30,EU,1,0.99,1.05
2025-05-31,EU,1,0.99,1.05
2025-06-30,EU,1,0.99,1.05
2025-07-31,EU,1,0.99,1.05
2025-08-29,EU,1,0.99,1.05
