date,area,n,strike_label,k,K,price_per_1,source
2012-10-31,EU,1,S2,0.02,1.02,0.3,cap
2012-10-31,EU,1,S3,0.03,1.03,0.055,cap
2012-10-31,EU,1,S4,0.04,1.04,0.0125,cap
2012-10-31,EU,1,S5,0.05,1.05,0.0031,cap
2012-11-30,EU,1,S2,0.02,1.02,0.245,cap
2012-11-30,EU,1,S3,0.03,1.03,0.0526,cap
2012-11-30,EU,1,S4,0.04,1.04,0.0118,cap
2012-11-30,EU,1,S5,0.05,1.05,0.0032,cap
2012-12-31,EU,1,S2,0.02,1.02,0.19,cap
2012-12-31,EU,1,S3,0.03,1.03,0.04,cap
2012-12-31,EU,1,S4,0.04,1.04,0.0075,cap
2012-12-31,EU,1,S5,0.05,1.05,0.005,cap
2013-01-31,EU,1,S2,0.02,1.02,0.16,cap
2013-01-31,EU,1,S3,0.03,1.03,0.0377,cap
2013-01-31,EU,1,S4,0.04,1.04,0.01,cap
2013-01-31,EU,1,S5,0.05,1.05,0.0034000000000000002,cap
2013-02-28,EU,1,S2,0.02,1.02,0.175,cap
2013-02-28,EU,1,S3,0.03,1.03,0.0405,cap
2013-02-28,EU,1,S4,0.04,1.04,0.012,cap
2013-02-28,EU,1,S5,0.05,1.05,0.0045000000000000005,cap
2013-03-29,EU,1,S2,0.02,1.02,0.124,cap
2013-03-29,EU,1,S3,0.03,1.03,0.0281,cap
2013-03-29,EU,1,S4,0.04,1.04,0.0085,cap
2013-03-29,EU,1,S5,0.05,1.05,0.0032,cap
2013-04-30,EU,1,S2,0.02,1.02,0.0947,cap
2013-04-30,EU,1,S3,0.03,1.03,0.022099999999999998,cap
2013-04-30,EU,1,S4,0.04,1.04,0.0073,cap
2013-04-30,EU,1,S5,0.05,1.05,0.003,cap
2013-05-31,EU,1,S2,0.02,1.02,0.0906,cap
2013-05-31,EU,1,S3,0.03,1.03,0.006750000000000001,cap
2013-05-31,EU,1,S4,0.04,1.04,0.0015,cap
2013-05-31,EU,1,S5,0.05,1.05,0.0025,cap
2013-06-28,EU,1,S2,0.02,1.02,0.08039999999999999,cap
2013-06-28,EU,1,S3,0.03,1.03,0.0187,cap
2013-06-28,EU,1,S4,0.04,1.04,0.0060999999999999995,cap
2013-06-28,EU,1,S5,0.05,1.05,0.0024,cap
2013-07-31,EU,1,S2,0.02,1.02,0.12990000000000002,cap
2013-07-31,EU,1,S3,0.03,1.03,0.0175,cap
2013-07-31,EU,1,S4,0.04,1.04,0.00645,cap
2013-07-31,EU,1,S5,0.05,1.05,0.0044,cap
2013-08-30,EU,1,S2,0.02,1.02,0.1195,cap
2013-08-30,EU,1,S3,0.03,1.03,0.0263,cap
2013-08-30,EU,1,S4,0.04,1.04,0.0088,cap
2013-08-30,EU,1,S5,0.05,1.05,0.0054,cap
2013-09-30,EU,1,S2,0.02,1.02,0.0756,cap
2013-09-30,EU,1,S3,0.03,1.03,0.0183,cap
2013-09-30,EU,1,S4,0.04,1.04,0.0079,cap
2013-09-30,EU,1,S5,0.05,1.05,0.0059,cap
2013-10-31,EU,1,S2,0.02,1.02,0.057699999999999994,cap
2013-10-31,EU,1,S3,0.03,1.03,0.023799999999999998,cap
2013-10-31,EU,1,S4,0.04,1.04,0.0086,cap
2013-10-31,EU,1,S5,0.05,1.05,0.0032,cap
2013-11-29,EU,1,S2,0.02,1.02,0.06849999999999999,cap
2013-11-29,EU,1,S3,0.03,1.03,0.0254,cap
2013-11-29,EU,1,S4,0.04,1.04,0.011899999999999999,cap
2013-11-29,EU,1,S5,0.05,1.05,0.0063,cap
2013-12-31,EU,1,S2,0.02,1.02,0.043899999999999995,cap
2013-12-31,EU,1,S3,0.03,1.03,0.0109,cap
2013-12-31,EU,1,S4,0.04,1.04,0.0034999999999999996,cap
2013-12-31,EU,1,S5,0.05,1.05,0.0014000000000000002,cap
2014-01-31,EU,1,S2,0.02,1.02,0.0408,cap
2014-01-31,EU,1,S3,0.03,1.03,0.0106,cap
2014-01-31,EU,1,S4,0.04,1.04,0.0038,cap
2014-01-31,EU,1,S5,0.05,1.05,0.0017000000000000001,cap
2014-02-28,EU,1,S2,0.02,1.02,0.035699999999999996,cap
2014-02-28,EU,1,S3,0.03,1.03,0.0085,cap
2014-02-28,EU,1,S4,0.04,1.04,0.0029,cap
2014-02-28,EU,1,S5,0.05,1.05,0.0013,cap
2014-03-31,EU,1,S2,0.02,1.02,0.023,cap
2014-03-31,EU,1,S3,0.03,1.03,0.0053,cap
2014-03-31,EU,1,S4,0.04,1.04,0.0016,cap
2014-03-31,EU,1,S5,0.05,1.05,0.0006,cap
2014-04-30,EU,1,S2,0.02,1.02,0.0316,cap
2014-04-30,EU,1,S3,0.03,1.03,0.008100000000000001,cap
2014-04-30,EU,1,S4,0.04,1.04,0.0029,cap
2014-04-30,EU,1,S5,0.05,1.05,0.0012,cap
2014-05-30,EU,1,S2,0.02,1.02,0.0252,cap
2014-05-30,EU,1,S3,0.03,1.03,0.0063,cap
2014-05-30,EU,1,S4,0.04,1.04,0.002,cap
2014-05-30,EU,1,S5,0.05,1.05,0.0008,cap
2014-06-30,EU,1,S2,0.02,1.02,0.019299999999999998,cap
2014-06-30,EU,1,S3,0.03,1.03,0.0045000000000000005,cap
2014-06-30,EU,1,S4,0.04,1.04,0.0017000000000000001,cap
2014-06-30,EU,1,S5,0.05,1.05,0.0008,cap
2014-07-31,EU,1,S2,0.02,1.02,0.0158,cap
2014-07-31,EU,1,S3,0.03,1.03,0.0034999999999999996,cap
2014-07-31,EU,1,S4,0.04,1.04,0.0011,cap
2014-07-31,EU,1,S5,0.05,1.05,0.0004,cap
2014-08-29,EU,1,S2,0.02,1.02,0.0075,cap
2014-08-29,EU,1,S3,0.03,1.03,0.0008,cap
2014-08-29,EU,1,S4,0.04,1.04,0.0001,cap
2014-08-29,EU,1,S5,0.05,1.05,0.0001,cap
2014-09-30,EU,1,S2,0.02,1.02,0.011200000000000002,cap
2014-09-30,EU,1,S3,0.03,1.03,0.0026,cap
2014-09-30,EU,1,S4,0.04,1.04,0.0009,cap
2014-09-30,EU,1,S5,0.05,1.05,0.0004,cap
2014-10-31,EU,1,S2,0.02,1.02,0.0005,cap
2014-10-31,EU,1,S3,0.03,1.03,0.0,cap
2014-10-31,EU,1,S4,0.04,1.04,0.0,cap
2014-10-31,EU,1,S5,0.05,1.05,0.0,cap
2014-11-28,EU,1,S2,0.02,1.02,0.0007000000000000001,cap
2014-11-28,EU,1,S3,0.03,1.03,0.0001,cap
2014-11-28,EU,1,S4,0.04,1.04,0.0,cap
2014-11-28,EU,1,S5,0.05,1.05,0.0,cap
2014-12-31,EU,1,S2,0.02,1.02,0.0008,cap
2014-12-31,EU,1,S3,0.03,1.03,0.0002,cap
2014-12-31,EU,1,S4,0.04,1.04,0.0001,cap
2014-12-31,EU,1,S5,0.05,1.05,0.0,cap
2015-01-30,EU,1,S2,0.02,1.02,0.0008,cap
2015-01-30,EU,1,S3,0.03,1.03,0.0001,cap
2015-01-30,EU,1,S4,0.04,1.04,0.0,cap
2015-01-30,EU,1,S5,0.05,1.05,0.0,cap
2015-02-27,EU,1,S2,0.02,1.02,0.012199999999999999,cap
2015-02-27,EU,1,S3,0.03,1.03,0.0036,cap
2015-02-27,EU,1,S4,0.04,1.04,0.0013,cap
2015-02-27,EU,1,S5,0.05,1.05,0.0005,cap
2015-03-31,EU,1,S2,0.02,1.02,0.0337,cap
2015-03-31,EU,1,S3,0.03,1.03,0.0109,cap
2015-03-31,EU,1,S4,0.04,1.04,0.0043,cap
2015-03-31,EU,1,S5,0.05,1.05,0.0019,cap
2015-04-30,EU,1,S2,0.02,1.02,0.08310000000000001,cap
2015-04-30,EU,1,S3,0.03,1.03,0.011899999999999999,cap
2015-04-30,EU,1,S4,0.04,1.04,0.002,cap
2015-04-30,EU,1,S5,0.05,1.05,0.0004,cap
2015-05-29,EU,1,S2,0.02,1.02,0.09699999999999999,cap
2015-05-29,EU,1,S3,0.03,1.03,0.0259,cap
2015-05-29,EU,1,S4,0.04,1.04,0.0075,cap
2015-05-29,EU,1,S5,0.05,1.05,0.0027,cap
2015-06-30,EU,1,S2,0.02,1.02,0.0649,cap
2015-06-30,EU,1,S3,0.03,1.03,0.0072,cap
2015-06-30,EU,1,S4,0.04,1.04,0.0013,cap
2015-06-30,EU,1,S5,0.05,1.05,0.0003,cap
2015-07-31,EU,1,S2,0.02,1.02,0.012199999999999999,cap
2015-07-31,EU,1,S3,0.03,1.03,0.0003,cap
2015-07-31,EU,1,S4,0.04,1.04,0.0016,cap
2015-07-31,EU,1,S5,0.05,1.05,0.0004,cap
2015-08-31,EU,1,S2,0.02,1.02,0.0036,cap
2015-08-31,EU,1,S3,0.03,1.03,0.0001,cap
2015-08-31,EU,1,S4,0.04,1.04,0.0011,cap
2015-08-31,EU,1,S5,0.05,1.05,0.0003,cap
2015-09-30,EU,1,S2,0.02,1.02,0.004,cap
2015-09-30,EU,1,S3,0.03,1.03,0.0001,cap
2015-09-30,EU,1,S4,0.04,1.04,0.0,cap
2015-09-30,EU,1,S5,0.05,1.05,0.0,cap
2015-10-30,EU,1,S2,0.02,1.02,0.006999999999999999,cap
2015-10-30,EU,1,S3,0.03,1.03,0.0002,cap
2015-10-30,EU,1,S4,0.04,1.04,0.0,cap
2015-10-30,EU,1,S5,0.05,1.05,0.0,cap
2015-11-30,EU,1,S2,0.02,1.02,0.039599999999999996,cap
2015-11-30,EU,1,S3,0.03,1.03,0.0241,cap
2015-11-30,EU,1,S4,0.04,1.04,0.0143,cap
2015-11-30,EU,1,S5,0.05,1.05,0.0086,cap
2015-12-31,EU,1,S2,0.02,1.02,0.0325,cap
2015-12-31,EU,1,S3,0.03,1.03,0.011899999999999999,cap
2015-12-31,EU,1,S4,0.04,1.04,0.005,cap
2015-12-31,EU,1,S5,0.05,1.05,0.0023,cap
2016-01-29,EU,1,S2,0.02,1.02,0.019799999999999998,cap
2016-01-29,EU,1,S3,0.03,1.03,0.0068000000000000005,cap
2016-01-29,EU,1,S4,0.04,1.04,0.0026,cap
2016-01-29,EU,1,S5,0.05,1.05,0.0011,cap
2016-02-29,EU,1,S2,0.02,1.02,0.009899999999999999,cap
2016-02-29,EU,1,S3,0.03,1.03,0.0033,cap
2016-02-29,EU,1,S4,0.04,1.04,0.0012,cap
2016-02-29,EU,1,S5,0.05,1.05,0.0005,cap
2016-03-31,EU,1,S2,0.02,1.02,0.0191,cap
2016-03-31,EU,1,S3,0.03,1.03,0.005699999999999999,cap
2016-03-31,EU,1,S4,0.04,1.04,0.002,cap
2016-03-31,EU,1,S5,0.05,1.05,0.0008,cap
2016-04-29,EU,1,S2,0.02,1.02,0.0253,cap
2016-04-29,EU,1,S3,0.03,1.03,0.0051,cap
2016-04-29,EU,1,S4,0.04,1.04,0.0014000000000000002,cap
2016-04-29,EU,1,S5,0.05,1.05,0.0005,cap
2016-05-31,EU,1,S2,0.02,1.02,0.045,cap
2016-05-31,EU,1,S3,0.03,1.03,0.004,cap
2016-05-31,EU,1,S4,0.04,1.04,0.0006,cap
2016-05-31,EU,1,S5,0.05,1.05,0.0002,cap
2016-06-30,EU,1,S2,0.02,1.02,0.03,cap
2016-06-30,EU,1,S3,0.03,1.03,0.002,cap
2016-06-30,EU,1,S4,0.04,1.04,0.0001,cap
2016-06-30,EU,1,S5,0.05,1.05,0.0,cap
2016-07-29,EU,1,S2,0.02,1.02,0.036000000000000004,cap
2016-07-29,EU,1,S3,0.03,1.03,0.003,cap
2016-07-29,EU,1,S4,0.04,1.04,0.0001,cap
2016-07-29,EU,1,S5,0.05,1.05,0.0,cap
2016-08-31,EU,1,S2,0.02,1.02,0.02,cap
